"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
582,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",29000000,"","","165",,"長方形","7.0","100","平成30年","木造","住宅","住宅","北西","市道",4.0,"第１種住居地域",60,200,"2019年第１四半期","",""
583,"宅地(土地)","宅地見込地","23202","愛知県","岡崎市","福岡町","岡崎","28",6200000,"180000","","110",56000,"台形","","","","","","","北西","道路",8.5,"工業地域",60,200,"2019年第１四半期","",""
584,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","26",68000000,"380000","","600",110000,"長方形","19.0","","","","","","東","区画街路",16.0,"第１種住居地域",60,200,"2019年第１四半期","",""
585,"宅地(土地)","商業地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",16000000,"340000","","155",100000,"ほぼ長方形","7.8","","","","","住宅","北東","市道",6.5,"近隣商業地域",80,200,"2019年第１四半期","",""
586,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","29",20000000,"360000","","175",110000,"不整形","4.0","","","","","住宅","西","市道",3.5,"第１種住居地域",60,200,"2018年第４四半期","",""
587,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",37000000,"","","135",,"長方形","8.5","125","平成30年","木造","住宅","住宅","北東","道路",6.0,"第１種住居地域",60,200,"2018年第４四半期","",""
588,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",3000000,"","","60",,"長方形","5.5","70","昭和43年","軽量鉄骨造","倉庫","その他","南東","市道",4.5,"工業地域",60,200,"2018年第４四半期","","調停・競売等"
589,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",5300000,"12000","","1500",3600,"不整形","47.0","","","","","その他","南西","市道",4.0,"市街化調整区域",60,200,"2018年第３四半期","",""
590,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",15000000,"360000","","135",110000,"長方形","8.5","","","","","","北西","道路",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
591,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",15000000,"","","200",,"ほぼ長方形","8.0","80","昭和60年","鉄骨造","住宅","その他","南西","市道",9.0,"第１種住居地域",60,200,"2018年第２四半期","",""
592,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",22000000,"360000","","200",110000,"ほぼ長方形","12.0","","","","","住宅","南","市道",3.0,"工業地域",60,200,"2018年第２四半期","",""
593,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","1H?1H30",19000000,"","","175",,"ほぼ長方形","10.1","170","昭和45年","木造","住宅","住宅","北西","県道",5.0,"第１種住居地域",60,200,"2018年第１四半期","",""
594,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",24000000,"","","115",,"長方形","7.9","95","平成29年","木造","住宅","住宅","南東","市道",3.2,"工業地域",60,200,"2018年第１四半期","",""
595,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",15000000,"360000","","135",110000,"長方形","8.5","","","","","住宅","北西","道路",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
596,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",39000000,"","","135",,"長方形","8.5","","","","","住宅","南東","道路",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
597,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",17000000,"370000","","150",110000,"長方形","9.5","","","","","住宅","北西","区画街路",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
598,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","28",28000000,"","","145",,"ほぼ長方形","13.2","105","平成30年","木造","住宅","住宅","西","県道",9.0,"第１種住居地域",60,200,"2018年第１四半期","",""
599,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",15000000,"320000","","150",96000,"不整形","7.0","","","","","","北西","区画街路",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
600,"宅地(土地)","住宅地","23202","愛知県","岡崎市","福岡町","岡崎","30分?60分",15000000,"340000","","150",100000,"ほぼ整形","7.0","","","","","住宅","南東","道路",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
601,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福桶町","岡崎","1H?1H30",27000000,"","","195",,"不整形","10.8","105","平成30年","木造","住宅","住宅","北","道路",2.3,"市街化調整区域",60,200,"2018年第２四半期","",""
602,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","藤川荒古","藤川","14",33000000,"","","125",,"長方形","7.1","105","平成30年","木造","住宅","住宅","南西","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
603,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","藤川荒古","美合","20",23000000,"","","200",,"ほぼ整形","17.0","140","平成7年","木造","住宅","","南","市道",6.0,"第１種住居地域",60,200,"2018年第３四半期","",""
604,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","藤川荒古","美合","18",29000000,"","","125",,"長方形","6.9","105","平成30年","木造","住宅","住宅","北西","市道",9.0,"第１種住居地域",60,200,"2018年第３四半期","",""
605,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","藤川荒古","美合","16",28000000,"","","125",,"長方形","7.0","95","平成30年","木造","住宅","住宅","北西","市道",9.0,"第１種住居地域",60,200,"2018年第３四半期","",""
606,"宅地(土地)","住宅地","23202","愛知県","岡崎市","藤川荒古","美合","16",28000000,"370000","","250",110000,"ほぼ長方形","14.6","","","","","","北東","市道",7.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
607,"宅地(土地)","住宅地","23202","愛知県","岡崎市","藤川荒古","美合","15",15000000,"170000","","290",52000,"正方形","17.0","","","","","","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
608,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","藤川台","藤川","18",18000000,"","","165",,"ほぼ長方形","10.4","115","昭和62年","軽量鉄骨造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第１四半期","",""
609,"宅地(土地)","工業地","23202","愛知県","岡崎市","藤川町","藤川","11",20000000,"130000","","510",39000,"長方形","19.0","","","","","","南西","市道",6.0,"準工業地域",60,200,"2018年第４四半期","",""
610,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","藤川町","藤川","8",14000000,"","","680",,"不整形","20.0","220","","木造","店舗","事務所","北","県道",4.7,"第１種住居地域",60,200,"2018年第２四半期","",""
611,"宅地(土地)","住宅地","23202","愛知県","岡崎市","藤川町","美合","13",15000000,"330000","","145",100000,"ほぼ台形","10.5","","","","","住宅","北西","市道",5.7,"第１種住居地域",60,200,"2018年第１四半期","",""
